title,appid,url
Blasphemous,774361,"['774361/ad9dbb765c1b469de94d487e9d8e0a7287915223.jpg', '774361/d9c0e97b73a7da9ffade96699033684068abcb4a.jpg', '774361/24a81013f2511a1b93d23d9748f71e4d541f4d5d.jpg', '774361/00a09cde40986075ba3bcaf943c39371ca23cfa7.jpg', '774361/c5fb4f1dc3c4571f49282bdfda0a42a11b773a0d.jpg']"
Call of Duty: Modern Warfare 2 (2009),10180,
Celeste,504230,"['504230/d7cf50c870d4468050c4635eb8b0380d2ab3b737.jpg', '504230/00a58e9f821fb13fad2833970be75a5b53d5d68a.jpg', '504230/268fc580acc99a2a0dea3614f1c32ae84a4dbfa6.jpg', '504230/a0b9819f8ccf156e26508e0b4a1a4f72fe0bf440.jpg', '504230/ae00da9c3f0ee2f1d8236a048f8507a7b1046a04.jpg']"
Clustertruck,397950,
Cuphead,268910,"['268910/79148735687f4bce410cf210f6cb2c18b9a51621.jpg', '268910/c07fb240ac14fdcfe92ad2a3d1a3b9e31013807c.jpg', '268910/20284411d2399d59c74a994a29def6552282c24c.jpg', '268910/c9adec020d9a8ff9ec766071e74239b6c9c50207.jpg', '268910/866c8286bba9c8318f4e799bb38c8adbe4089eae.jpg']"
DARK SOULS™: REMASTERED,570940,
Donut County,702670,"['702670/91cb476b93d8352e7f0bb71344d286158cbde6ff.jpg', '702670/5a853e8b2e2ddf80ed9c1c3516ccf6472a329e20.jpg', '702670/576ce11b2b8ddefb81a02100088ddd27fce19575.jpg']"
Getting Over It with Bennett Foddy,240720,
GRIS,683320,
Hitman GO: Definitive Edition,427820,"['427820/5b00458ecbb688a905889032bf541139ae6d640f.jpg', '427820/01b675a841feaa49ff8319e3079ea07bbc33df87.jpg', '427820/446a4d6c88a3859c4565412aeb868f2887bcd9e2.jpg', '427820/dc7a7ce0081098dba536205c7d555b86f01ba4f8.jpg', '427820/256b5c1220e73b1438ef49854d5318b1226977ad.jpg']"
HITMAN™,236870,"['236870/8d49a6bbf63569a59d0fdd87428b60d470d5774a.jpg', '236870/0c60df896c7e067e85863dd4b4696260ece23348.jpg', '236870/711579084fdbdee5d395095602431098cada4a17.jpg', '236870/d43d54944bdfa93ef86a0026e8ba609c0a6be486.jpg', '236870/5760e52a36cf93100826ad8ed3af925ea470556c.jpg']"
Hollow Knight,367520,"['367520/88ae94fbfb817750fd86ce7c0f1656e832bd0638.jpg', '367520/86c041b1b23b101d35de750a049a5aa39635c707.jpg', '367520/7a68d32d2c11f6a7b73b154d3bd83f934504063e.jpg', '367520/f7c66cf678ae0afa9a0bd1e71fcae685609e51fb.jpg', '367520/89c60302eaa33a08d7eb97ba14d40bd39b48da5f.jpg']"
Hotline Miami,219150,"['219150/04cc4517950b338bf36ca3e4d5e74a36ee57b595.jpg', '219150/b88e17732437b959d4108d6aeed8fa9c1c4d4d9c.jpg', '219150/ae032dd05fc78f1f1557a42d9aceec02c731c6fb.jpg', '219150/e4c6d1863baf2f20dc06228d945cd7f739ed80b0.jpg', '219150/3d212340173fe4f5027f662b805ce68a5de8c6d4.jpg', '219150/04cc4517950b338bf36ca3e4d5e74a36ee57b595.jpg']"
John Wick Hex,1405790,
Journey,638230,"['638230/3007ed00ef7fdbd8bb7a10339ba4096890323999.jpg', '638230/adfa551949c790fa525dda588f444440cb188a38.jpg', '638230/37c576141c40abc72d8e1ec7d7d6a5436dd949c3.jpg', '638230/120baac54a5b445bc8e0b78ea066341e05dfc858.jpg']"
Katana ZERO,460950,"['460950/db378124ecc5b05b0a7d7da6c32286d72608e473.jpg', '460950/f6512389de5313c0c93cde833d7b367634ca4cce.jpg', '460950/6dac30aa2a3337c15aa90527a8a65cd4bc21360f.jpg', '460950/73bec66c38ab72160cc8f4513e580c3bfba04e68.jpg', '460950/97af5344037f5b1b1d531955b70032e2c697b3f5.jpg', '460950/3dca45d22049b3314db5a1f99b3875cd986832af.jpg']"
Kingdom: Classic,368230,"['368230/6882f63333cb0a7c10d57e2f4b33f9643362d335.jpg', '368230/f73279c7e554691e272f1a249a4dd4cef5124e1d.jpg', '368230/075204ef64a7d8273421dd32951e8b2e0d0606a0.jpg', '368230/6de645fa54c4869461b5fd2a79d08e81e24ef401.jpg']"
Life is Strange™,319630,"['319630/10ecc65c4524cee3421f22880e5e43cbd94c497c.jpg', '319630/5a22e8dd50ca9a6623257795077c0501b16c085a.jpg', '319630/830603aae4f0fb4ba0109088b6e3b6a093cbca4f.jpg', '319630/51b3735656dc41b95026b019eb8f45aa68dfbdc7.jpg', '319630/caeb0d4f58aeac61feba1306112781ceeb123249.jpg']"
Little Nightmares,424840,"['https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/items/424840/7b427ade32c9760238cb8d27453c6605df8911a2.mp4', '424840/a4af6372128e904edd866cc909e1ae2242562adb.jpg', '424840/7ef4fb5f1f2f95bb147f6d2ef8900b0119c8eebb.jpg', '424840/886b2fcdeb523b75b8001e6d34dfcd8226104c29.jpg', '424840/359776dc3d520d4472674ec90a69a9c35581b413.jpg', '424840/e8efc819cbd0a59b405a3bcf8572cb47113e30bc.jpg', '424840/10749f228ab5c128cc53eefbd55389953c059eaa.jpg']"
Mad Max,234140,"['234140/810feea01d75b82574c6252ecc9db8ab7a2aa743.jpg', '234140/48d850077d83eae0c70b48bd234f849f63158a55.jpg', '234140/c7a16d5d2b40c2389e67678713943c710ff5cbcf.jpg', '234140/2c02c6d99ff150235d5aaf6866436cdaae9bc20b.jpg', '234140/3026ce8e8956dc7c906dfff8312b0b47f4bed654.jpg', '234140/77fbfe74bdefd56c6c284ad3c40201cd522b06a7.jpg', '234140/1fefeb6450c7d11eb756dd68e030c58f903723bb.jpg']"
Middle-earth™: Shadow of Mordor™,241930,"['241930/d3df2497853e99bcdfd4c6b8880ae1ce8fdb19c1.jpg', '241930/41bff4c1a16f924655b8a255524fe001dd313e78.jpg', '241930/7623d8043a836e9106f04c03666ef39beedca352.jpg', '241930/0d15404d4492ecb5ec50f70dc0ee22bf48b7e9f9.jpg', '241930/86a4b2753911f61df1010a4cbb975e45af1246ca.jpg']"
Neon White,1533420,"['1533420/0e6667514c476072c51d36e564484eba54ba29b4.jpg', '1533420/e978ea1bdfa8452fba71ba6daaddcecb776a920a.jpg', '1533420/86af381b9bb9d4084b1d0287fea0d9cb5068b314.jpg', '1533420/f177561217aef4d843cac935ffce32b002c3684c.jpg', '1533420/2c40106c53b325a9f890c20b608790906fc8a7a9.jpg']"
Outlast,238320,"['https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/items/238320/c842ff62724e74e309d2d3935e0b580a400ae6d0.mp4', '238320/cc10eba1ff5b17c5794e3011e4e9467d8001eec4.jpg', '238320/67ad361be53ca641cdfd4666ff09caf89b7cf35b.jpg', '238320/e0e718e19d90061c25c22d61cc8ecd0860c0f20d.jpg', '238320/02a1b4ceb8524c29509429e7842069cb73bcd631.jpg']"
Pony Island,405640,"['405640/59545492e03b5f80237f1b930f07296cf2a5472c.jpg', '405640/6b79c58360dc61dd706a7e403bf5235d45b4263e.jpg', '405640/cae67ec01f7ed862aebb9ccef30ae8c5d6bf2014.jpg']"
Portal,400,
Portal 2,620,"['620/a479809817527090dbd3dac5664b71dddfa47dee.jpg', '620/aae901f5cca93fb9f50fd4746535d24cd572b5b4.jpg', '620/aef3f9a49b097d61b0b76b1bbe2bfc145fd169a8.jpg', '620/904c34bd20f5a5f5eadb074cce42d2606b266acc.jpg', '620/587fe7e1cd995174f039a4d28f25f2a5caa96329.jpg']"
Remnant: From the Ashes,617290,"['617290/9d7e926c3e81105b03e574bf282018b7199a5c05.jpg', '617290/39013e13aabd84d0f9af1c6a2322e939d57dd8f0.jpg', '617290/077fbf1a9cc170469c458c74c0d1c8c62604ffb9.jpg', '617290/06c5b8707ba060b6fa0485877f55ad21d5cc03bf.jpg', '617290/637f6af4b41044758c84430d40b935a1dfb5def6.jpg']"
Shadow Tactics: Blades of the Shogun,418240,
Shadow Tactics: Blades of the Shogun - Aiko's Choice,1579380,"['1579380/c98284a558ec55451e160bc2bfa8b93d86b28196.jpg', '1579380/446096265a4e242b9867514101ec0779c210d39e.jpg', '1579380/b7652344be0b7cd1403f2538922ac6ad2359d88b.jpg', '1579380/672ef93594860543e78c4318f13160dd9a3f3bb6.jpg']"
shapez,1318690,
Slay the Spire,646570,"['646570/d242b310f5408ceabb8ffd49a117a04e135ddaa3.jpg', '646570/c9075419d74d8bc1fd28a061b36a20f4045df86d.jpg', '646570/e63785a4313127cedc3dfccdced1ac314af58c75.jpg', '646570/cc1e4401587cce45fb1aaf53d8f14d737bde5f77.jpg', '646570/4835a4b6c6b9f250e62992b85e4445b8b99493b3.jpg']"
Stacklands,1948280,"['1948280/df086cb0030661e8363725225654edb542be3efd.jpg', '1948280/202b2a1bf97977a4f0c6a58a257815c8fae52eff.jpg', '1948280/8e046fda30e897a8bf8ce2fb19575d1a1e1b3f16.jpg']"
STANDBY,494580,"['494580/f701ed3d26bafdb1be1327fba980ac55e274ea9f.jpg', '494580/c705f9f0ec6cd997aa1c71cb10d60cc28902a80b.jpg', '494580/085386f803c92c16cbb5bd76d34a6323a5051024.jpg', '494580/6a1352d802fc923d45e3a2e973f2069727cd23f0.jpg', '494580/e2a70722fa68041f2febe1da8615b069a9dbf0d0.jpg', '494580/fbc3c05e338ade28c3b9cdf54343edd53dc3894d.jpg']"
Subnautica,264710,"['264710/f52103b2d228957a5b2998fbe287919bdebcd1b3.jpg', '264710/5b22e3f234dbd42b402865a6afa09be71aaf9e3b.jpg', '264710/f06de0397d2b1541c7526538291747e5968d95ad.jpg', '264710/511ee1387a0e84f15a6cfd288379c112a117fa7a.jpg', '264710/bdb3043275fe448f2a86f586f5288dc73f3c2da2.jpg']"
The Messenger,764790,"['764790/c2cdf565ed94dce1662f7e9e149463cc0826c8a4.jpg', '764790/a9a1ee21ae21dd29dcc37b17e5c6d5d0320ceb5e.jpg', '764790/24a15b01c937159e12e3522f8cf375cbe0083fee.jpg', '764790/eda09ca21ee89107f4160aabf33021d777685525.jpg', '764790/452b1ab85ff411191b329fdbbcee050b2d7e6442.jpg']"
